mtry,ntree,nodesize,Adj_R2,MAE,MAE_PctOfMean,MAPE,MeanActual,MeanPredicted,N_Obs,N_Params,RMSE,RMSE_PctOfMean,StDevActual,StDevPredicted
14,500,10,95.37,0.14,2.62,3.07,5.56,5.56,141,27,0.21,3.8,1.1,1.04
14,100,10,95.35,0.15,2.64,3.1,5.56,5.56,141,27,0.21,3.81,1.1,1.05
4,100,7,95.56,0.15,2.66,3.11,5.56,5.55,141,27,0.21,3.72,1.1,1.03
5,500,10,95.47,0.15,2.67,3.13,5.56,5.55,141,27,0.21,3.76,1.1,1.03
5,1000,10,95.46,0.15,2.67,3.13,5.56,5.55,141,27,0.21,3.77,1.1,1.03
5,1500,10,95.49,0.15,2.66,3.13,5.56,5.55,141,27,0.21,3.75,1.1,1.03
3,100,7,95.44,0.15,2.72,3.15,5.56,5.54,141,27,0.21,3.77,1.1,1.02
5,100,10,95.4,0.15,2.71,3.15,5.56,5.55,141,27,0.21,3.79,1.1,1.03
3,1000,7,95.47,0.15,2.73,3.17,5.56,5.54,141,27,0.21,3.76,1.1,1.02
3,1500,7,95.44,0.15,2.73,3.17,5.56,5.54,141,27,0.21,3.77,1.1,1.02
4,1500,10,95.29,0.15,2.75,3.21,5.56,5.54,141,27,0.21,3.83,1.1,1.02
3,500,7,95.38,0.15,2.77,3.22,5.56,5.54,141,27,0.21,3.8,1.1,1.02
4,1000,10,95.24,0.15,2.75,3.23,5.56,5.54,141,27,0.21,3.86,1.1,1.02
4,500,10,95.26,0.15,2.77,3.24,5.56,5.54,141,27,0.21,3.85,1.1,1.02
4,100,10,94.94,0.16,2.82,3.3,5.56,5.54,141,27,0.22,3.97,1.1,1.03
3,500,10,94.87,0.16,2.88,3.37,5.56,5.54,141,27,0.22,4,1.1,1.01
3,1000,10,94.94,0.16,2.9,3.38,5.56,5.54,141,27,0.22,3.97,1.1,1.01
3,1500,10,94.9,0.16,2.91,3.39,5.56,5.54,141,27,0.22,3.99,1.1,1.01
3,100,10,94.79,0.16,2.95,3.42,5.56,5.54,141,27,0.22,4.03,1.1,1.01
