Metric,Value,mtry,ntree,nodesize,run
StDevPredicted,1.04,9,1500,10,5
N_Obs,141,9,1500,10,5
N_Params,27,9,1500,10,5
MAE,0.15,7,1500,10,1
RMSE,0.21,7,1500,10,1
MAE_PctOfMean,2.64,7,1500,10,1
RMSE_PctOfMean,3.74,7,1500,10,1
MAPE,3.1,7,1500,10,1
Adj_R2,95.52,7,1500,10,1
MeanActual,5.56,7,1500,10,1
MeanPredicted,5.55,7,1500,10,1
StDevActual,1.1,7,1500,10,1
StDevPredicted,1.03,7,1500,10,1
N_Obs,141,7,1500,10,1
N_Params,27,7,1500,10,1
MAE,0.14,7,1500,10,2
RMSE,0.2,7,1500,10,2
MAE_PctOfMean,2.6,7,1500,10,2
RMSE_PctOfMean,3.69,7,1500,10,2
MAPE,3.05,7,1500,10,2
Adj_R2,95.65,7,1500,10,2
MeanActual,5.56,7,1500,10,2
MeanPredicted,5.55,7,1500,10,2
StDevActual,1.1,7,1500,10,2
StDevPredicted,1.04,7,1500,10,2
N_Obs,141,7,1500,10,2
N_Params,27,7,1500,10,2
MAE,0.14,7,1500,10,3
RMSE,0.2,7,1500,10,3
MAE_PctOfMean,2.59,7,1500,10,3
RMSE_PctOfMean,3.66,7,1500,10,3
MAPE,3.03,7,1500,10,3
Adj_R2,95.7,7,1500,10,3
MeanActual,5.56,7,1500,10,3
MeanPredicted,5.55,7,1500,10,3
StDevActual,1.1,7,1500,10,3
StDevPredicted,1.04,7,1500,10,3
N_Obs,141,7,1500,10,3
N_Params,27,7,1500,10,3
MAE,0.14,7,1500,10,4
RMSE,0.21,7,1500,10,4
MAE_PctOfMean,2.6,7,1500,10,4
RMSE_PctOfMean,3.72,7,1500,10,4
MAPE,3.07,7,1500,10,4
Adj_R2,95.57,7,1500,10,4
MeanActual,5.56,7,1500,10,4
MeanPredicted,5.55,7,1500,10,4
StDevActual,1.1,7,1500,10,4
StDevPredicted,1.04,7,1500,10,4
N_Obs,141,7,1500,10,4
N_Params,27,7,1500,10,4
MAE,0.14,7,1500,10,5
RMSE,0.2,7,1500,10,5
MAE_PctOfMean,2.58,7,1500,10,5
RMSE_PctOfMean,3.66,7,1500,10,5
MAPE,3.04,7,1500,10,5
Adj_R2,95.71,7,1500,10,5
MeanActual,5.56,7,1500,10,5
MeanPredicted,5.55,7,1500,10,5
StDevActual,1.1,7,1500,10,5
StDevPredicted,1.04,7,1500,10,5
N_Obs,141,7,1500,10,5
N_Params,27,7,1500,10,5
MAE,0.15,5,1500,10,1
RMSE,0.21,5,1500,10,1
MAE_PctOfMean,2.67,5,1500,10,1
RMSE_PctOfMean,3.76,5,1500,10,1
MAPE,3.14,5,1500,10,1
Adj_R2,95.47,5,1500,10,1
MeanActual,5.56,5,1500,10,1
MeanPredicted,5.55,5,1500,10,1
StDevActual,1.1,5,1500,10,1
StDevPredicted,1.03,5,1500,10,1
N_Obs,141,5,1500,10,1
N_Params,27,5,1500,10,1
MAE,0.15,5,1500,10,2
RMSE,0.21,5,1500,10,2
MAE_PctOfMean,2.66,5,1500,10,2
RMSE_PctOfMean,3.75,5,1500,10,2
MAPE,3.12,5,1500,10,2
Adj_R2,95.51,5,1500,10,2
MeanActual,5.56,5,1500,10,2
MeanPredicted,5.55,5,1500,10,2
StDevActual,1.1,5,1500,10,2
StDevPredicted,1.03,5,1500,10,2
N_Obs,141,5,1500,10,2
N_Params,27,5,1500,10,2
MAE,0.15,5,1500,10,3
RMSE,0.21,5,1500,10,3
MAE_PctOfMean,2.66,5,1500,10,3
RMSE_PctOfMean,3.74,5,1500,10,3
MAPE,3.12,5,1500,10,3
Adj_R2,95.52,5,1500,10,3
MeanActual,5.56,5,1500,10,3
MeanPredicted,5.55,5,1500,10,3
StDevActual,1.1,5,1500,10,3
StDevPredicted,1.03,5,1500,10,3
N_Obs,141,5,1500,10,3
N_Params,27,5,1500,10,3
MAE,0.15,5,1500,10,4
RMSE,0.21,5,1500,10,4
MAE_PctOfMean,2.66,5,1500,10,4
RMSE_PctOfMean,3.76,5,1500,10,4
MAPE,3.13,5,1500,10,4
Adj_R2,95.47,5,1500,10,4
MeanActual,5.56,5,1500,10,4
MeanPredicted,5.55,5,1500,10,4
StDevActual,1.1,5,1500,10,4
StDevPredicted,1.03,5,1500,10,4
N_Obs,141,5,1500,10,4
N_Params,27,5,1500,10,4
MAE,0.15,5,1500,10,5
RMSE,0.21,5,1500,10,5
MAE_PctOfMean,2.66,5,1500,10,5
RMSE_PctOfMean,3.75,5,1500,10,5
MAPE,3.12,5,1500,10,5
Adj_R2,95.5,5,1500,10,5
MeanActual,5.56,5,1500,10,5
MeanPredicted,5.55,5,1500,10,5
StDevActual,1.1,5,1500,10,5
StDevPredicted,1.03,5,1500,10,5
N_Obs,141,5,1500,10,5
N_Params,27,5,1500,10,5
MAE,0.15,4,1500,10,1
RMSE,0.21,4,1500,10,1
MAE_PctOfMean,2.73,4,1500,10,1
RMSE_PctOfMean,3.83,4,1500,10,1
MAPE,3.2,4,1500,10,1
Adj_R2,95.3,4,1500,10,1
MeanActual,5.56,4,1500,10,1
MeanPredicted,5.55,4,1500,10,1
StDevActual,1.1,4,1500,10,1
StDevPredicted,1.03,4,1500,10,1
N_Obs,141,4,1500,10,1
N_Params,27,4,1500,10,1
MAE,0.15,4,1500,10,2
RMSE,0.21,4,1500,10,2
MAE_PctOfMean,2.74,4,1500,10,2
RMSE_PctOfMean,3.82,4,1500,10,2
MAPE,3.19,4,1500,10,2
Adj_R2,95.33,4,1500,10,2
MeanActual,5.56,4,1500,10,2
MeanPredicted,5.54,4,1500,10,2
StDevActual,1.1,4,1500,10,2
StDevPredicted,1.03,4,1500,10,2
N_Obs,141,4,1500,10,2
N_Params,27,4,1500,10,2
MAE,0.15,4,1500,10,3
RMSE,0.21,4,1500,10,3
MAE_PctOfMean,2.75,4,1500,10,3
RMSE_PctOfMean,3.86,4,1500,10,3
MAPE,3.23,4,1500,10,3
Adj_R2,95.24,4,1500,10,3
MeanActual,5.56,4,1500,10,3
MeanPredicted,5.54,4,1500,10,3
StDevActual,1.1,4,1500,10,3
StDevPredicted,1.02,4,1500,10,3
N_Obs,141,4,1500,10,3
N_Params,27,4,1500,10,3
MAE,0.15,4,1500,10,4
RMSE,0.21,4,1500,10,4
MAE_PctOfMean,2.76,4,1500,10,4
RMSE_PctOfMean,3.86,4,1500,10,4
MAPE,3.22,4,1500,10,4
Adj_R2,95.22,4,1500,10,4
MeanActual,5.56,4,1500,10,4
MeanPredicted,5.54,4,1500,10,4
StDevActual,1.1,4,1500,10,4
StDevPredicted,1.02,4,1500,10,4
N_Obs,141,4,1500,10,4
N_Params,27,4,1500,10,4
MAE,0.15,4,1500,10,5
RMSE,0.21,4,1500,10,5
MAE_PctOfMean,2.75,4,1500,10,5
RMSE_PctOfMean,3.85,4,1500,10,5
MAPE,3.22,4,1500,10,5
Adj_R2,95.26,4,1500,10,5
MeanActual,5.56,4,1500,10,5
MeanPredicted,5.54,4,1500,10,5
StDevActual,1.1,4,1500,10,5
StDevPredicted,1.03,4,1500,10,5
N_Obs,141,4,1500,10,5
N_Params,27,4,1500,10,5
MAE,0.15,4,1500,10,1
RMSE,0.21,4,1500,10,1
MAE_PctOfMean,2.75,4,1500,10,1
RMSE_PctOfMean,3.8,4,1500,10,1
MAPE,3.21,4,1500,10,1
Adj_R2,95.37,4,1500,10,1
MeanActual,5.56,4,1500,10,1
MeanPredicted,5.54,4,1500,10,1
StDevActual,1.1,4,1500,10,1
StDevPredicted,1.03,4,1500,10,1
N_Obs,141,4,1500,10,1
N_Params,27,4,1500,10,1
MAE,0.15,4,1500,10,2
RMSE,0.21,4,1500,10,2
MAE_PctOfMean,2.72,4,1500,10,2
RMSE_PctOfMean,3.8,4,1500,10,2
MAPE,3.19,4,1500,10,2
Adj_R2,95.38,4,1500,10,2
MeanActual,5.56,4,1500,10,2
MeanPredicted,5.55,4,1500,10,2
StDevActual,1.1,4,1500,10,2
StDevPredicted,1.02,4,1500,10,2
N_Obs,141,4,1500,10,2
N_Params,27,4,1500,10,2
MAE,0.15,4,1500,10,3
RMSE,0.22,4,1500,10,3
MAE_PctOfMean,2.78,4,1500,10,3
RMSE_PctOfMean,3.88,4,1500,10,3
MAPE,3.26,4,1500,10,3
Adj_R2,95.19,4,1500,10,3
MeanActual,5.56,4,1500,10,3
MeanPredicted,5.54,4,1500,10,3
StDevActual,1.1,4,1500,10,3
StDevPredicted,1.02,4,1500,10,3
N_Obs,141,4,1500,10,3
N_Params,27,4,1500,10,3
MAE,0.15,4,1500,10,4
RMSE,0.21,4,1500,10,4
MAE_PctOfMean,2.75,4,1500,10,4
RMSE_PctOfMean,3.81,4,1500,10,4
MAPE,3.21,4,1500,10,4
Adj_R2,95.35,4,1500,10,4
MeanActual,5.56,4,1500,10,4
MeanPredicted,5.54,4,1500,10,4
StDevActual,1.1,4,1500,10,4
StDevPredicted,1.02,4,1500,10,4
N_Obs,141,4,1500,10,4
N_Params,27,4,1500,10,4
MAE,0.15,4,1500,10,5
RMSE,0.21,4,1500,10,5
MAE_PctOfMean,2.75,4,1500,10,5
RMSE_PctOfMean,3.83,4,1500,10,5
MAPE,3.22,4,1500,10,5
Adj_R2,95.3,4,1500,10,5
MeanActual,5.56,4,1500,10,5
MeanPredicted,5.54,4,1500,10,5
StDevActual,1.1,4,1500,10,5
StDevPredicted,1.02,4,1500,10,5
N_Obs,141,4,1500,10,5
N_Params,27,4,1500,10,5
MAE,0.16,3,1500,10,1
RMSE,0.22,3,1500,10,1
MAE_PctOfMean,2.91,3,1500,10,1
RMSE_PctOfMean,3.99,3,1500,10,1
MAPE,3.39,3,1500,10,1
Adj_R2,94.9,3,1500,10,1
MeanActual,5.56,3,1500,10,1
MeanPredicted,5.54,3,1500,10,1
StDevActual,1.1,3,1500,10,1
StDevPredicted,1.01,3,1500,10,1
N_Obs,141,3,1500,10,1
N_Params,27,3,1500,10,1
MAE,0.16,3,1500,10,2
RMSE,0.22,3,1500,10,2
MAE_PctOfMean,2.9,3,1500,10,2
RMSE_PctOfMean,3.98,3,1500,10,2
MAPE,3.38,3,1500,10,2
Adj_R2,94.94,3,1500,10,2
MeanActual,5.56,3,1500,10,2
MeanPredicted,5.54,3,1500,10,2
StDevActual,1.1,3,1500,10,2
StDevPredicted,1.01,3,1500,10,2
N_Obs,141,3,1500,10,2
N_Params,27,3,1500,10,2
MAE,0.16,3,1500,10,3
RMSE,0.22,3,1500,10,3
MAE_PctOfMean,2.93,3,1500,10,3
RMSE_PctOfMean,4.01,3,1500,10,3
MAPE,3.41,3,1500,10,3
Adj_R2,94.86,3,1500,10,3
MeanActual,5.56,3,1500,10,3
MeanPredicted,5.54,3,1500,10,3
StDevActual,1.1,3,1500,10,3
StDevPredicted,1.01,3,1500,10,3
N_Obs,141,3,1500,10,3
N_Params,27,3,1500,10,3
MAE,0.16,3,1500,10,4
RMSE,0.22,3,1500,10,4
MAE_PctOfMean,2.9,3,1500,10,4
RMSE_PctOfMean,4,3,1500,10,4
MAPE,3.38,3,1500,10,4
Adj_R2,94.87,3,1500,10,4
MeanActual,5.56,3,1500,10,4
MeanPredicted,5.54,3,1500,10,4
StDevActual,1.1,3,1500,10,4
StDevPredicted,1.01,3,1500,10,4
N_Obs,141,3,1500,10,4
N_Params,27,3,1500,10,4
MAE,0.16,3,1500,10,5
RMSE,0.22,3,1500,10,5
MAE_PctOfMean,2.91,3,1500,10,5
RMSE_PctOfMean,3.98,3,1500,10,5
MAPE,3.37,3,1500,10,5
Adj_R2,94.93,3,1500,10,5
MeanActual,5.56,3,1500,10,5
MeanPredicted,5.54,3,1500,10,5
StDevActual,1.1,3,1500,10,5
StDevPredicted,1.01,3,1500,10,5
N_Obs,141,3,1500,10,5
N_Params,27,3,1500,10,5
